PROFILE_TEXT,OCCUPATIONAL CATEGORY,LABEL
college graduate human resource development clerk office clerk human resource development clerk office clerk no experience,Clerical and Administrative,3
high school graduate production worker domestic chores bagger,Sales/Service/Retail,2
high school graduate office clerk computer literate no experience,Sales/Service/Retail,2
high school graduate mechanic helper auto mechanic painting jobs laborer,Production and Manufacturing,1
grade xii for k to 12 service crew computer literate domestic chores cashier,Sales/Service/Retail,2
high school graduate production worker production worker production worker,Warehouse and Logistics,0
high school graduate caregiver home based domestic chores no experience,Production and Manufacturing,1
vocational graduate service crew service crew office clerk,Sales/Service/Retail,2
2nd year college level sales associate professional production worker computer literate production worker,Production and Manufacturing,1
grade xi for k to 12 cashier production helper computer literate production helper,Production and Manufacturing,1
high school graduate street non food vendor production worker electrician tailoring domestic chores no experience,Warehouse and Logistics,0
high school graduate warehouse clerk warehouse clerk warehouse clerk,Warehouse and Logistics,0
3rd year high school grade ix for k to 12 production worker production worker no experience,Production and Manufacturing,1
high school graduate bread baker production worker cooking no experience,Production and Manufacturing,1
2nd year college level production worker computer literate embroidery domestic chores gardening barangay treasurer,Warehouse and Logistics,0
1st year college level customer service assistant food repacker customer service assistant food repacker community development worker,Warehouse and Logistics,0
4th year high school grade x for k to 12 production worker production worker production worker,Production and Manufacturing,1
3rd year high school grade ix for k to 12 warehouse helper warehouse helper service crew,Production and Manufacturing,1
grade xii for k to 12 service crew service crew engineering aide,Production and Manufacturing,1
2nd year college level service crew computer literate domestic chores stock clerk,Sales/Service/Retail,2
high school graduate production worker driving store helper,Production and Manufacturing,1
3rd year college level cashier production helper cashier production helper cashier,Sales/Service/Retail,2
high school graduate warehouse helper domestic chores no experience,General Services and Security,4
vocational graduate safety officer bottle sorter safety officer bottle sorter no experience,Production and Manufacturing,1
3rd year high school grade ix for k to 12 production helper production helper no experience,Production and Manufacturing,1
high school graduate production worker computer literate commis helper,Production and Manufacturing,1
grade xii for k to 12 service crew computer literate bagger,Sales/Service/Retail,2
4th year high school grade x for k to 12 truck driver driving truck driver,General Services and Security,4
college graduate kitchen crew kitchen crew no experience,Sales/Service/Retail,2
2nd year college level room attendant production worker production helper domestic chores production worker production worker,Production and Manufacturing,1
college graduate sales executive quality assurance staff jail officer i gov warehouse clerk cashier collector money vending machine computer literate no experience,Production and Manufacturing,1
high school graduate production worker computer literate production worker,Production and Manufacturing,1
4th year high school grade x for k to 12 production worker domestic chores kitchen helper,Production and Manufacturing,1
vocational graduate warehouse clerk mail sorter production worker warehouse clerk mail sorter production worker no experience,Warehouse and Logistics,0
vocational graduate production worker production worker production worker,Production and Manufacturing,1
high school graduate production helper production helper kitchen crew,Production and Manufacturing,1
2nd year high school grade viii for k to 12 office clerk production worker office clerk production worker no experience,Production and Manufacturing,1
grade xii for k to 12 storeroom clerk cashier service crew computer literate cashier customer service assistant,Sales/Service/Retail,2
high school graduate service crew domestic chores no experience,Production and Manufacturing,1
1st year college level production helper computer literate domestic chores sales clerk,Warehouse and Logistics,0
high school graduate warehouse helper warehouse helper line installer,Warehouse and Logistics,0
1st year college level warehouse helper warehouse helper technical support staff,Warehouse and Logistics,0
elementary graduate mason general masonry mason general,Production and Manufacturing,1
2nd year college level car driver truck driver computer literate driving painting jobs car driver bus driver car driver car driver truck driver,General Services and Security,4
grade xii for k to 12 delivery helper delivery helper no experience,Production and Manufacturing,1
high school graduate production worker computer literate domestic chores no experience,Production and Manufacturing,1
4th year high school grade x for k to 12 production worker production worker no experience,Sales/Service/Retail,2
3rd year college level receptionist general customer service assistant sales clerk computer literate painting jobs domestic chores gardening service crew,Warehouse and Logistics,0
3rd year high school grade ix for k to 12 company driver driving carpentry work company driver company driver,Warehouse and Logistics,0
high school graduate electronics technician production worker auto mechanic electrician painter artist electronics food repacker,Production and Manufacturing,1
high school graduate production worker production worker housekeeper private,Production and Manufacturing,1
high school graduate food repacker food repacker no experience,Production and Manufacturing,1
college graduate storeroom clerk office clerk storeroom clerk office clerk no experience,Warehouse and Logistics,0
1st year college level cashier cashier no experience,Sales/Service/Retail,2
college graduate cashier customer service assistant computer literate no experience,Sales/Service/Retail,2
college graduate warehouse clerk service crew utility worker production worker painting jobs embroidery domestic chores painter artist domestic helper,Production and Manufacturing,1
high school graduate truck driver driving auto mechanic carpentry work plumbing delivery driver,General Services and Security,4
high school graduate delivery helper delivery helper utility worker,Production and Manufacturing,1
high school graduate production worker carpentry work mason general,Production and Manufacturing,1
2nd year college level service crew production worker service crew production worker cashier,Sales/Service/Retail,2
high school graduate production worker driving carpentry work painting jobs photography production worker,Production and Manufacturing,1
grade xii for k to 12 production helper production helper production helper,Production and Manufacturing,1
college graduate cashier service crew cashier service crew no experience,Sales/Service/Retail,2
high school graduate merchandiser computer literate bagger,Sales/Service/Retail,2
vocational graduate production worker sewing dresses production worker,Production and Manufacturing,1
college graduate office clerk office clerk no experience,Clerical and Administrative,3
college graduate accounting clerk accounting clerk no experience,Production and Manufacturing,1
grade xii for k to 12 service crew gardening service crew,Production and Manufacturing,1
2nd year college level production helper production helper no experience,Production and Manufacturing,1
college graduate cashier cashier storeroom clerk,Production and Manufacturing,1
high school graduate service crew computer literate driving auto mechanic masonry electrician painter artist service crew,Sales/Service/Retail,2
high school graduate mason general masonry mason general,Production and Manufacturing,1
high school graduate warehouse helper bottle sorter warehouse helper bottle sorter no experience,Warehouse and Logistics,0
vocational undergraduate truck driver truck driver no experience,General Services and Security,4
high school graduate warehouse clerk service crew warehouse clerk service crew bagger,Sales/Service/Retail,2
college graduate storekeeper cashier storekeeper cashier leadman general,Production and Manufacturing,1
high school graduate warehouse helper warehouse helper bagger,Warehouse and Logistics,0
high school graduate bread baker domestic chores no experience,Warehouse and Logistics,0
1st year college level customer service assistant production worker customer service assistant production worker no experience,Production and Manufacturing,1
college graduate warehouse clerk warehouse clerk administration services aide,Warehouse and Logistics,0
4th year college level cashier cashier no experience,Sales/Service/Retail,2
college graduate production worker operator accounting machine operator i,Production and Manufacturing,1
college graduate warehouse clerk warehouse clerk security guard,Warehouse and Logistics,0
grade xii for k to 12 sales clerk computer literate sales clerk,Production and Manufacturing,1
college graduate billing clerk billing clerk no experience,Production and Manufacturing,1
college graduate sales associate professional sales associate professional no experience,Production and Manufacturing,1
2nd year college level production worker domestic chores production worker,Production and Manufacturing,1
high school graduate production helper computer literate food repacker,Production and Manufacturing,1
1st year college level production worker production worker food repacker,Production and Manufacturing,1
high school graduate truck driver driving car driver,General Services and Security,4
2nd year college level call center agent production worker call center agent production worker no experience,Sales/Service/Retail,2
1st year college level production worker computer literate security guard,Production and Manufacturing,1
college graduate cashier checker computer literate domestic chores customer service assistant,Sales/Service/Retail,2
college graduate office staff data encoding filing office clerk,Clerical and Administrative,3
high school graduate office clerk computer literate bookkeeping encoding office clerk,Clerical and Administrative,3
college graduate office clerk data encoding filing office staff,Clerical and Administrative,3
3rd year college level records officer ms office encoding office clerk,Clerical and Administrative,3
college graduate billing clerk ms word excel powerpoint office staff,Clerical and Administrative,3
high school graduate encoder typing encoding computer literate office clerk,Clerical and Administrative,3
2nd year college level administrative assistant customer service computer literate billing clerk,Clerical and Administrative,3
high school graduate encoder clerical work computer literate encoder,Clerical and Administrative,3
college graduate secretary typing administrative tasks records officer,Clerical and Administrative,3
college graduate records officer accounting computer literate no experience,Clerical and Administrative,3
college graduate office clerk encoding recording filing cashier clerk,Clerical and Administrative,3
college graduate office staff ms office bookkeeping encoding data encoder,Clerical and Administrative,3
college graduate secretary administrative tasks computer literate accounting staff,Clerical and Administrative,3
college graduate administrative assistant computer literate data encoder,Clerical and Administrative,3
2nd year college level office staff computer literate data encoder,Clerical and Administrative,3
college graduate cashier clerk encoding data management office clerk,Clerical and Administrative,3
2nd year college level data encoder encoding data management administrative aide,Clerical and Administrative,3
high school graduate encoder encoding filing computer literate accounts officer,Clerical and Administrative,3
college graduate bookkeeper typing encoding computer literate data encoder,Clerical and Administrative,3
high school graduate data encoder encoding data management data encoder,Clerical and Administrative,3
1st year college level accounting staff data encoding filing office staff,Clerical and Administrative,3
college graduate accounting staff encoding filing computer literate payroll assistant,Clerical and Administrative,3
college graduate administrative assistant typing encoding computer literate data encoder,Clerical and Administrative,3
college graduate secretary filing encoding customer service encoder,Clerical and Administrative,3
college graduate accounts officer ms word excel powerpoint payroll assistant,Clerical and Administrative,3
high school graduate office clerk typing administrative tasks office clerk,Clerical and Administrative,3
high school graduate administrative assistant accounting computer literate document controller,Clerical and Administrative,3
high school graduate secretary computer literate ms office records officer,Clerical and Administrative,3
college graduate secretary bookkeeping computer literate no experience,Clerical and Administrative,3
high school graduate billing clerk ms word excel powerpoint data encoder,Clerical and Administrative,3
grade xii for k to 12 encoder computer literate ms office data encoder,Clerical and Administrative,3
1st year college level office clerk computer literate ms office data encoder,Clerical and Administrative,3
high school graduate secretary filing encoding customer service data encoder,Clerical and Administrative,3
college graduate bookkeeper computer literate bookkeeping encoding secretary,Clerical and Administrative,3
1st year college level administrative assistant typing administrative tasks encoder,Clerical and Administrative,3
college graduate administrative assistant computer literate ms office office clerk,Clerical and Administrative,3
1st year college level accounts officer typing encoding computer literate accounting staff,Clerical and Administrative,3
college graduate office clerk data encoding filing office clerk,Clerical and Administrative,3
grade xii for k to 12 office clerk administrative tasks computer literate office staff,Clerical and Administrative,3
college graduate billing clerk filing encoding customer service records officer,Clerical and Administrative,3
college graduate cashier clerk ms office encoding data encoder,Clerical and Administrative,3
college graduate secretary filing encoding customer service administrative assistant,Clerical and Administrative,3
college graduate bookkeeper bookkeeping computer literate administrative aide,Clerical and Administrative,3
college graduate billing clerk data encoding filing records officer,Clerical and Administrative,3
college graduate administrative assistant typing administrative tasks secretary,Clerical and Administrative,3
1st year college level records officer bookkeeping computer literate office clerk,Clerical and Administrative,3
2nd year college level cashier clerk typing administrative tasks administrative aide,Clerical and Administrative,3
high school graduate office staff clerical work computer literate no experience,Clerical and Administrative,3
2nd year college level accounting staff data encoding filing office clerk,Clerical and Administrative,3
college graduate encoder encoding filing computer literate office clerk,Clerical and Administrative,3
1st year college level encoder filing encoding customer service no experience,Clerical and Administrative,3
college graduate bookkeeper typing administrative tasks office clerk,Clerical and Administrative,3
high school graduate data encoder encoding filing computer literate secretary,Clerical and Administrative,3
college graduate accounts officer encoding filing computer literate administrative aide,Clerical and Administrative,3
1st year college level accounting staff encoding recording filing secretary,Clerical and Administrative,3
college graduate office staff administrative tasks computer literate no experience,Clerical and Administrative,3
college graduate accounting staff customer service computer literate payroll assistant,Clerical and Administrative,3
1st year college level billing clerk typing encoding computer literate office clerk,Clerical and Administrative,3
college graduate accounting staff typing encoding computer literate records officer,Clerical and Administrative,3
college graduate office clerk ms office bookkeeping encoding accounting officer,Clerical and Administrative,3
college graduate billing clerk typing encoding computer literate accounting officer,Clerical and Administrative,3
college graduate data encoder ms office encoding accounting officer,Clerical and Administrative,3
2nd year college level data encoder typing encoding computer literate payroll assistant,Clerical and Administrative,3
college graduate bookkeeper ms office encoding payroll assistant,Clerical and Administrative,3
college graduate office clerk clerical work computer literate billing clerk,Clerical and Administrative,3
college graduate billing clerk encoding recording filing payroll assistant,Clerical and Administrative,3
college graduate secretary bookkeeping computer literate data encoder,Clerical and Administrative,3
college graduate administrative assistant administrative tasks computer literate billing clerk,Clerical and Administrative,3
college graduate office clerk computer literate data encoder,Clerical and Administrative,3
college graduate data encoder computer literate ms office secretary,Clerical and Administrative,3
1st year college level cashier clerk computer literate office staff,Clerical and Administrative,3
1st year college level encoder bookkeeping computer literate cashier clerk,Clerical and Administrative,3
2nd year college level encoder computer literate office clerk,Clerical and Administrative,3
college graduate bookkeeper computer literate accounting staff,Clerical and Administrative,3
college graduate records officer data encoding filing office clerk,Clerical and Administrative,3
1st year college level accounting staff customer service computer literate no experience,Clerical and Administrative,3
grade xii for k to 12 records officer typing administrative tasks records officer,Clerical and Administrative,3
college graduate accounts officer encoding filing computer literate office clerk,Clerical and Administrative,3
2nd year college level bookkeeper ms word excel powerpoint no experience,Clerical and Administrative,3
college graduate accounts officer filing encoding customer service administrative assistant,Clerical and Administrative,3
1st year college level secretary data encoding filing secretary,Clerical and Administrative,3
high school graduate administrative assistant data encoding filing data encoder,Clerical and Administrative,3
college graduate encoder bookkeeping computer literate records officer,Clerical and Administrative,3
2nd year college level service worker security guard training building attendant,General Services and Security,4
college graduate messenger lto licensed driver utility worker,General Services and Security,4
high school graduate building custodian maintenance cleaning security guard,General Services and Security,4
high school graduate guard maintenance cleaning utility worker,General Services and Security,4
2nd year college level service worker housekeeping security guard,General Services and Security,4
college graduate guard janitorial services janitor,General Services and Security,4
college graduate service worker cleaning maintenance utility worker,General Services and Security,4
4th year high school grade x for k to 12 janitor driving with license janitor,General Services and Security,4
college graduate janitor housekeeping building attendant,General Services and Security,4
4th year high school grade x for k to 12 service worker motorcycle driving light vehicle driver,General Services and Security,4
high school graduate utility worker driving maintenance company driver,General Services and Security,4
high school graduate security guard security security guard,General Services and Security,4
high school graduate maintenance staff security guard license driving janitress,General Services and Security,4
4th year high school grade x for k to 12 security guard facility maintenance cleaning housekeeper,General Services and Security,4
high school graduate janitress security guard license driving company driver,General Services and Security,4
2nd year college level utility worker driving maintenance driver,General Services and Security,4
college graduate janitress facility maintenance cleaning security guard,General Services and Security,4
4th year high school grade x for k to 12 building custodian security security guard,General Services and Security,4
high school graduate building custodian driving no experience,General Services and Security,4
college graduate company driver security security guard,General Services and Security,4
college graduate utility worker security guard license driving messenger,General Services and Security,4
4th year high school grade x for k to 12 housekeeping housekeeping building attendant,General Services and Security,4
2nd year college level janitress security guard license driving janitor,General Services and Security,4
high school graduate maintenance staff guarding security driver,General Services and Security,4
1st year college level security guard security guard training company driver,General Services and Security,4
high school graduate guard facility maintenance cleaning messenger,General Services and Security,4
1st year college level maintenance staff security security guard,General Services and Security,4
college graduate messenger driving company driver,General Services and Security,4
college graduate messenger cleaning housekeeping maintenance staff,General Services and Security,4
grade xii for k to 12 housekeeping cleaning maintenance security guard,General Services and Security,4
4th year high school grade x for k to 12 security guard cleaning housekeeping driver,General Services and Security,4
1st year college level janitor janitorial services driver,General Services and Security,4
4th year high school grade x for k to 12 company driver driving housekeeper,General Services and Security,4
high school graduate maintenance staff housekeeping security guard,General Services and Security,4
1st year college level company driver janitorial services security guard,General Services and Security,4
high school graduate security guard security guard license driving building attendant,General Services and Security,4
4th year high school grade x for k to 12 security guard cleaning maintenance janitor,General Services and Security,4
college graduate housekeeping security guard training driver,General Services and Security,4
vocational undergraduate messenger driving maintenance driver,General Services and Security,4
college graduate company driver security guard license driver,General Services and Security,4
high school graduate driver security guard training building attendant,General Services and Security,4
high school graduate company driver maintenance cleaning driver,General Services and Security,4
high school graduate housekeeping housekeeping utility worker,General Services and Security,4
college graduate service worker security company driver,General Services and Security,4
grade xii for k to 12 company driver driving with license security guard,General Services and Security,4
grade xii for k to 12 maintenance staff driving with license security guard,General Services and Security,4
college graduate building custodian driving with license security guard,General Services and Security,4
high school graduate maintenance staff security building attendant,General Services and Security,4
4th year high school grade x for k to 12 housekeeping cleaning housekeeping maintenance staff,General Services and Security,4
college graduate security guard maintenance cleaning utility worker,General Services and Security,4
college graduate messenger driving security guard,General Services and Security,4
college graduate utility worker security guard training security guard,General Services and Security,4
high school graduate messenger security guard license janitress,General Services and Security,4
high school graduate messenger driving maintenance security guard,General Services and Security,4
grade xii for k to 12 janitor guarding security security guard,General Services and Security,4
college graduate building custodian driving maintenance driver,General Services and Security,4
high school graduate service worker motorcycle driving light vehicle no experience,General Services and Security,4
high school graduate utility worker driving with license housekeeper,General Services and Security,4
high school graduate company driver driving auto mechanic janitress,General Services and Security,4
college graduate driver cleaning maintenance security guard,General Services and Security,4
high school graduate messenger motorcycle driving light vehicle driver,General Services and Security,4
college graduate guard maintenance cleaning security guard,General Services and Security,4
high school graduate driver heavy lifting company driver,General Services and Security,4
high school graduate housekeeping driving auto mechanic janitor,General Services and Security,4
college graduate guard guarding security company driver,General Services and Security,4
vocational undergraduate utility worker driving with license security guard,General Services and Security,4
high school graduate service worker cleaning housekeeping security guard,General Services and Security,4
college graduate company driver janitorial services driver,General Services and Security,4
2nd year college level maintenance staff security guard license utility worker,General Services and Security,4
college graduate housekeeping guarding security janitor,General Services and Security,4
college graduate service worker driving maintenance security guard,General Services and Security,4
college graduate maintenance staff security guard training janitor,General Services and Security,4
college graduate janitor maintenance cleaning messenger,General Services and Security,4
high school graduate janitress housekeeping driver,General Services and Security,4
college graduate utility worker driving company driver,General Services and Security,4
college graduate maintenance staff security guard training no experience,General Services and Security,4
vocational undergraduate janitor driving driver,General Services and Security,4
college graduate janitor lto licensed driver driver,General Services and Security,4
college graduate guard motorcycle driving light vehicle driver,General Services and Security,4
college graduate building custodian driving security guard,General Services and Security,4
4th year high school grade x for k to 12 housekeeping lto licensed driver driver,General Services and Security,4
1st year college level building custodian driving maintenance utility worker,General Services and Security,4
2nd year college level maintenance staff guarding security utility worker,General Services and Security,4
high school graduate security guard janitorial services utility worker,General Services and Security,4
college graduate guard maintenance cleaning utility worker,General Services and Security,4
college graduate security guard security guard training security guard,General Services and Security,4
college graduate driver maintenance cleaning security guard,General Services and Security,4
grade xii for k to 12 janitress maintenance cleaning security guard,General Services and Security,4
1st year college level service worker cleaning housekeeping utility worker,General Services and Security,4
college graduate company driver cleaning maintenance company driver,General Services and Security,4
grade xii for k to 12 utility worker motorcycle driving light vehicle housekeeper,General Services and Security,4
high school graduate messenger housekeeping company driver,General Services and Security,4
2nd year college level janitor facility maintenance cleaning utility worker,General Services and Security,4
high school graduate housekeeping housekeeping janitor,General Services and Security,4
college graduate service worker security guard training security guard,General Services and Security,4
2nd year college level maintenance staff security guard license driver,General Services and Security,4
high school graduate maintenance staff security guard license company driver,General Services and Security,4
4th year high school grade x for k to 12 guard driving auto mechanic maintenance staff,General Services and Security,4
vocational undergraduate utility worker janitorial services company driver,General Services and Security,4
high school graduate company driver heavy lifting driver,General Services and Security,4
high school graduate company driver security guard license building attendant,General Services and Security,4
college graduate building custodian maintenance cleaning security guard,General Services and Security,4
college graduate janitress driving maintenance security guard,General Services and Security,4
1st year college level driver security guard license housekeeper,General Services and Security,4
high school graduate janitor driving maintenance security guard,General Services and Security,4
high school graduate security guard heavy lifting janitress,General Services and Security,4
2nd year college level maintenance staff lto licensed driver janitor,General Services and Security,4
high school graduate service worker facility maintenance cleaning driver,General Services and Security,4
college graduate guard security guard license driver,General Services and Security,4
college graduate maintenance staff driving with license janitor,General Services and Security,4
college graduate maintenance staff janitorial services company driver,General Services and Security,4
college graduate security guard driving janitress,General Services and Security,4
grade xii for k to 12 service worker security guard license security guard,General Services and Security,4
high school graduate driver lto licensed driver building attendant,General Services and Security,4
college graduate janitress driving auto mechanic security guard,General Services and Security,4
high school graduate messenger housekeeping security guard,General Services and Security,4
2nd year college level housekeeping heavy lifting utility worker,General Services and Security,4
3rd year high school grade ix for k to 12 company driver janitorial services security guard,General Services and Security,4
college graduate security guard facility maintenance cleaning security guard,General Services and Security,4
college graduate security guard security guard license driving security guard,General Services and Security,4
